City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
171,Bambanglipuro,ID,76.59,overcast clouds,-7.95,110.2833,Puri Brata
172,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
174,Mackay,AU,82.69,broken clouds,-21.15,149.2,International Lodge Motel
176,Grand Gaube,MU,79.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
181,Noumea,NC,84.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
183,Honiara,SB,85.46,broken clouds,-9.4333,159.95,Heritage Park Hotel
184,Faanui,PF,81.54,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
186,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
192,Bhatkal,IN,80.22,overcast clouds,13.9667,74.5667,Nilawar Palace
194,Isangel,VU,81.28,overcast clouds,-19.55,169.2667,Tanna Lodge
197,Hamilton,US,70.43,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
202,Cienfuegos,CU,81.48,scattered clouds,22.1461,-80.4356,Casa Claumar B2BPay
208,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
210,Kavaratti,IN,81.43,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
213,Lorengau,PG,83.48,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
215,Pyu,MM,75.45,overcast clouds,18.4833,96.4333,Mr Bo Bo
218,Cap Malheureux,MU,79.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
222,Nueva Concepcion,GT,88.18,scattered clouds,14.2,-91.3,Hotel Villa Las Flores
224,Atuona,PF,79.25,light rain,-9.8,-139.0333,Villa Enata
230,Sur,OM,73.47,clear sky,22.5667,59.5289,Sur Plaza Hotel
235,Axim,GH,80.2,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
237,Itarema,BR,78.22,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
242,Sao Felix Do Xingu,BR,72.79,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
249,General Artigas,PY,76.91,few clouds,-26.9333,-56.2167,Hotel Calera Del Sur
250,Barahona,DO,77.49,clear sky,18.2085,-71.1008,Hotel Caribe
251,Oriximina,BR,73.71,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
252,Bathsheba,BB,77.36,scattered clouds,13.2167,-59.5167,Atlantis Hotel
253,Ballina,AU,73.02,few clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
257,East London,ZA,70.59,clear sky,-33.0153,27.9116,Tu Casa
262,Ariquemes,BR,74.82,broken clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
263,Boyolangu,ID,74.91,overcast clouds,-8.1181,111.8935,Yos ega cv
272,Pitimbu,BR,80.96,light rain,-7.4706,-34.8086,Reserva do Abiaí
274,Mana,GF,75.6,overcast clouds,5.6592,-53.7767,LE SAMANA
276,Beterou,BJ,89.31,overcast clouds,9.1992,2.2586,Monastère de Kokoubou
278,Mecca,SA,74.14,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
281,Namibe,AO,74.14,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
282,Orange,US,85.42,overcast clouds,33.7,-117.7675,Meadows
283,Dingle,PH,78.28,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
285,Lompoc,US,84.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
288,Digri,PK,70.72,clear sky,25.1558,69.1113,Sindh Green Hotel
292,Soanierana Ivongo,MG,74.55,overcast clouds,-16.9167,49.5833,Hôtel Escale
295,Sri Aman,MY,72.41,light rain,1.2376,111.4621,Seri Simanggang Hotel
305,Victoria,HK,76.95,overcast clouds,22.2855,114.1577,Mini Hotel Central
312,Vaitape,PF,81.59,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
317,Vicuna,CL,77.77,clear sky,-30.0319,-70.7081,Los Mosaicos
318,Acarau,BR,78.15,moderate rain,-2.8856,-40.12,castelo pizzaria
319,Marsh Harbour,BS,72.16,clear sky,26.5412,-77.0636,Abaco Beach Resort
322,Akyab,MM,74.75,broken clouds,20.15,92.9,Hotel Memory
325,Bartica,GY,72.93,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
327,Tautira,PF,80.53,light rain,-17.7333,-149.15,Pension Oaoa
331,Formosa,AR,83.97,few clouds,-26.1775,-58.1781,Asterión Hotel
332,Karratha,AU,84.61,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
336,Bilma,NE,77.59,clear sky,18.6853,12.9164,Expeditions Ténére voyages
338,Huarmey,PE,71.91,broken clouds,-10.0681,-78.1522,Hotel Miramar
340,Sinnamary,GF,76.73,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
346,Vanimo,PG,82.81,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
348,Road Town,VG,77.04,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
349,Cidreira,BR,70.77,broken clouds,-30.1811,-50.2056,Hotel Castelo
350,Pinotepa Nacional,MX,87.48,clear sky,16.3167,-98.0167,Hotel Maria Del Carmen
351,Samarinda,ID,73.51,moderate rain,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
354,Mankono,CI,76.46,light rain,8.0586,-6.1897,Hôtel cotonputeur
355,Cukai,MY,78.57,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
357,Bambous Virieux,MU,79.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
361,Langsa,ID,73.9,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
362,Pekan,MY,78.28,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
366,Bolobo,CD,72.0,light rain,-2.1667,16.2333,Hotel de Stephen
368,Vilhena,BR,70.68,scattered clouds,-12.7406,-60.1458,Hotel Mirage
371,Ishigaki,JP,75.33,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
372,Celestun,MX,84.2,clear sky,20.8667,-90.4,Posada Lilia
373,Almeirim,BR,73.85,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
375,Quatre Cocos,MU,79.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
384,Madiun,ID,74.43,overcast clouds,-7.6298,111.5239,ASTON Madiun Hotel & Conference Center
388,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
389,San Joaquin,US,79.32,scattered clouds,37.9333,-121.3011,University Plaza Waterfront Hotel
390,Maxixe,MZ,70.09,light rain,-23.8597,35.3472,Oceano
398,Akoupe,CI,73.94,light rain,6.39,-3.9003,Hotel le Pavillon
